10000;20000;30000;40000;50000;60000;70000;80000;90000;100000;110000;120000;130000;140000;150000;160000;170000;180000;190000;200000;210000;220000;230000;240000;250000;260000;270000;280000;290000;300000;310000;320000;330000;340000;350000;360000;370000;380000;390000;400000;410000;420000;430000;440000;450000;460000;470000;480000;490000;500000
8;24;14;24;23;35;26;32;41;43;51;54;60;69;82;81;94;92;101;106;124;127;133;139;146;166;172;176;203;213;223;221;258;271;259;264;261;271;267;316;329;317;334;365;375;385;382;416;458;451
7;9;14;19;24;29;34;43;50;55;61;71;78;86;90;98;106;118;132;146;154;151;171;174;193;192;230;239;221;237;273;295;302;314;315;329;354;369;378;353;383;404;453;435;478;492;525;509;532;543
5;4;5;5;10;9;10;12;14;16;18;20;22;25;27;29;32;37;37;40;43;45;50;59;55;61;62;70;70;98;79;92;91;97;102;205;107;112;115;124;126;130;148;143;149;154;158;168;168;178
