10000,20000,30000,40000,50000,60000,70000,80000,90000,100000,110000,120000,130000,140000,150000,160000,170000,180000,190000,200000,210000,220000,230000,240000,250000,260000,270000,280000,290000,300000,310000,320000,330000,340000,350000,360000,370000,380000,390000,400000,410000,420000,430000,440000,450000,460000,470000,480000,490000,500000,
13,26,17,24,28,35,39,38,48,49,55,61,69,77,85,91,99,106,115,143,145,143,152,161,174,174,190,203,222,235,251,250,269,267,277,293,336,332,368,363,352,362,376,386,399,454,423,443,464,462,
31,31,31,31,37,37,48,48,61,61,76,76,94,94,107,107,122,122,140,140,158,158,176,176,193,193,211,211,229,229,254,254,288,288,292,292,312,312,327,327,351,351,377,377,391,391,422,422,441,441,465,465,506,506,523,523,570,570,604,604,642,642,636,636,657,657,661,661,712,712,713,713,820,820,788,788,810,810,852,852,854,854,951,951,936,936,956,956,1003,1003,1069,1069,1202,1202,1120,1120,1161,1161,1202,1202,
4,4,3,3,6,6,8,8,13,13,13,13,15,15,17,17,20,20,23,23,25,25,27,27,31,31,34,34,40,40,39,39,42,42,47,47,48,48,54,54,56,56,58,58,62,62,69,69,71,71,73,73,78,78,82,82,87,87,93,93,95,95,120,120,109,109,116,116,121,121,139,139,128,128,135,135,143,143,147,147,148,148,157,157,177,177,172,172,177,177,184,184,197,197,193,193,272,272,227,227,
