10000,20000,30000,40000,50000,60000,70000,80000,90000,100000,110000,120000,130000,140000,150000,160000,170000,180000,190000,200000,210000,220000,230000,240000,250000,260000,270000,280000,290000,300000,310000,320000,330000,340000,350000,360000,370000,380000,390000,400000,410000,420000,430000,440000,450000,460000,470000,480000,490000,500000,
3,6,9,10,13,16,16,19,22,26,28,30,32,35,38,42,45,47,51,54,56,59,61,64,74,71,79,82,87,104,95,101,105,107,111,116,112,120,120,133,139,147,145,151,139,162,156,178,159,182,
3,5,8,11,14,18,20,25,27,32,34,39,42,47,49,52,91,60,63,66,74,74,80,82,87,90,96,102,151,113,124,122,126,133,136,142,145,148,148,164,155,163,180,173,172,217,206,237,257,244,
1,2,4,5,6,7,9,9,11,12,13,14,16,17,18,20,22,22,24,26,28,29,30,33,33,34,36,39,43,42,43,45,46,49,51,57,54,55,58,62,63,63,67,66,69,70,74,81,82,80,
